"DATA","ABERTURA","FECHAMENTO","VARIAÇÃO","MÍNIMO","MÁXIMO","VOLUME"
"28/06/2024","32,50","31,60","-2,26","31,60","32,35","65,97M"
"27/06/2024","32,50","32,33","-0,49","31,81","33,16","45,61M"
"26/06/2024","31,57","32,49","2,36","31,25","32,60","43,05M"
"25/06/2024","31,94","31,74","-0,72","31,22","31,94","26,39M"
"24/06/2024","31,79","31,97","1,07","31,68","32,29","19,91M"
"21/06/2024","31,32","31,63","0,99","30,83","31,66","55,79M"
"20/06/2024","31,21","31,32","1,06","31,05","31,78","47,86M"
"19/06/2024","30,90","30,99","0,29","30,27","31,14","41,08M"
"18/06/2024","31,41","30,90","-1,50","30,82","31,71","36,64M"
"17/06/2024","31,84","31,37","-1,75","31,14","31,95","18,07M"
"14/06/2024","31,87","31,93","0,19","31,23","32,02","22,01M"
"13/06/2024","31,67","31,87","0,19","31,63","32,14","12,14M"
"12/06/2024","32,71","31,81","-2,72","31,56","32,87","37,26M"
"11/06/2024","31,80","32,70","3,19","31,79","33,00","30,88M"
"10/06/2024","31,84","31,69","0,16","31,46","31,86","15,88M"
"07/06/2024","31,80","31,64","-0,88","31,44","32,06","24,04M"
"06/06/2024","31,48","31,92","1,43","31,48","32,39","27,04M"
"05/06/2024","31,00","31,47","1,45","30,91","31,89","62,42M"
"04/06/2024","31,37","31,02","-1,18","30,62","31,38","29,20M"
"03/06/2024","31,60","31,39","-0,54","30,91","31,74","45,01M"
"31/05/2024","32,42","31,56","-2,83","31,33","32,94","51,25M"
"29/05/2024","32,78","32,48","-0,95","32,40","33,00","35,42M"
"28/05/2024","33,48","32,79","-1,38","32,59","33,65","50,46M"
"27/05/2024","33,56","33,25","-1,39","33,09","33,78","55,97M"
"24/05/2024","34,10","33,72","-0,74","33,65","34,31","32,73M"
"23/05/2024","33,50","33,97","1,71","33,24","34,28","63,28M"
"22/05/2024","34,19","33,40","-2,85","33,37","34,62","69,10M"
"21/05/2024","34,98","34,38","-1,41","34,36","35,11","69,74M"
"20/05/2024","37,42","34,87","-6,81","34,80","37,50","144,65M"
"17/05/2024","38,41","37,42","0,40","37,17","40,12","247,55M"
"16/05/2024","36,62","37,27","1,80","35,92","37,46","67,73M"
"15/05/2024","36,03","36,61","1,10","36,00","37,20","195,77M"
"14/05/2024","38,30","36,21","-3,82","35,87","38,33","121,93M"
"13/05/2024","39,10","37,65","-2,96","37,41","39,81","87,65M"
"10/05/2024","39,52","38,80","-1,80","38,59","40,12","42,82M"
"09/05/2024","39,40","39,51","-0,65","39,18","39,90","35,48M"
"08/05/2024","38,86","39,77","1,40","38,31","40,25","271,65M"
"07/05/2024","42,88","39,22","-8,77","38,70","43,20","185,10M"
"06/05/2024","44,01","42,99","-3,39","42,91","44,11","55,03M"
"03/05/2024","44,32","44,50","1,71","43,64","45,20","65,14M"
"02/05/2024","43,37","43,75","2,99","43,19","44,78","90,85M"
"30/04/2024","42,98","42,48","-1,26","42,29","43,78","65,25M"
"29/04/2024","42,15","43,02","1,58","41,53","43,27","39,72M"
"26/04/2024","41,53","42,35","2,69","41,25","42,76","54,96M"
"25/04/2024","40,80","41,24","1,18","40,30","41,40","44,64M"
"24/04/2024","40,52","40,76","0,77","39,60","41,09","37,73M"
"23/04/2024","40,49","40,45","-0,78","40,04","40,72","28,88M"
"22/04/2024","39,78","40,77","2,82","39,55","41,17","48,76M"
"19/04/2024","39,78","39,65","0,18","39,02","39,78","36,56M"
"18/04/2024","39,18","39,58","1,44","38,83","40,10","65,74M"
"17/04/2024","38,74","39,02","1,27","38,22","40,35","57,67M"
"16/04/2024","38,88","38,53","-1,15","38,07","38,88","40,91M"
"15/04/2024","40,20","38,98","-2,89","38,78","40,30","61,80M"
"12/04/2024","40,50","40,14","-0,91","39,60","40,68","42,59M"
"11/04/2024","40,82","40,51","-0,76","39,85","40,85","100,38M"
"10/04/2024","41,45","40,82","-1,76","40,60","41,80","51,44M"
"09/04/2024","41,18","41,55","0,73","40,73","42,40","82,44M"
"08/04/2024","42,36","41,25","-2,60","40,11","42,95","133,36M"
"05/04/2024","39,20","42,35","13,21","39,14","42,69","318,46M"
"04/04/2024","37,40","37,41","0,78","37,14","38,28","102,43M"
"03/04/2024","38,20","37,12","-2,70","37,06","38,23","61,87M"
"02/04/2024","38,33","38,15","-0,29","37,74","38,59","184,18M"
"01/04/2024","38,15","38,26","2,44","37,98","39,77","141,38M"
"28/03/2024","37,55","37,35","-0,82","37,00","38,07","47,02M"
"27/03/2024","37,28","37,66","1,24","36,53","38,08","51,06M"
"26/03/2024","38,40","37,20","-2,92","36,88","38,60","90,31M"
"25/03/2024","38,94","38,32","-1,01","38,11","38,98","38,93M"
"22/03/2024","39,72","38,71","-3,08","38,60","39,95","37,45M"
"21/03/2024","40,12","39,94","-0,15","39,55","40,49","29,78M"
"20/03/2024","39,35","40,00","1,65","39,35","40,41","34,68M"
"19/03/2024","39,00","39,35","1,37","38,60","39,60","71,23M"
"18/03/2024","39,35","38,82","-0,56","38,80","39,84","36,36M"
"15/03/2024","40,30","39,04","-2,67","39,04","40,34","67,36M"
"14/03/2024","40,41","40,11","-1,21","40,01","40,85","83,75M"
"13/03/2024","40,40","40,60","0,37","40,01","41,04","118,85M"
"12/03/2024","40,80","40,45","-0,47","40,10","41,16","191,54M"
"11/03/2024","42,83","40,64","-5,05","40,44","43,36","128,84M"
"08/03/2024","42,99","42,80","-1,20","42,62","43,73","51,65M"
"07/03/2024","43,40","43,32","-0,14","43,02","43,93","41,51M"
"06/03/2024","42,65","43,38","2,07","42,17","43,80","97,40M"
"05/03/2024","42,49","42,50","-0,54","42,31","43,98","144,49M"
"04/03/2024","40,00","42,73","10,10","39,74","42,78","200,00M"
"01/03/2024","39,00","38,81","-0,03","38,11","39,27","60,31M"
"29/02/2024","39,06","38,82","-0,61","38,60","39,25","46,54M"
"28/02/2024","41,12","39,06","-5,45","38,50","41,22","167,32M"
"27/02/2024","40,00","41,31","4,06","39,94","41,45","38,22M"
"26/02/2024","41,08","39,70","-3,85","39,66","41,64","61,23M"
"23/02/2024","41,31","41,29","-0,05","40,90","41,85","34,20M"
"22/02/2024","41,00","41,31","0,81","40,94","41,58","29,43M"
"21/02/2024","41,66","40,98","-2,06","40,36","41,94","54,05M"
"20/02/2024","40,84","41,84","1,63","40,84","41,96","34,34M"
"19/02/2024","40,34","41,17","1,63","40,15","41,68","35,59M"
"16/02/2024","40,31","40,51","1,28","39,52","40,61","100,44M"
"15/02/2024","39,93","40,00","0,96","39,50","40,70","50,68M"
"14/02/2024","39,71","39,62","-0,45","39,20","39,97","36,88M"
"09/02/2024","40,80","39,80","-2,52","39,80","41,22","41,12M"
"08/02/2024","42,31","40,83","-3,41","40,40","42,78","75,00M"
"07/02/2024","42,24","42,27","0,07","42,00","42,97","48,34M"
"06/02/2024","40,65","42,24","4,09","40,63","42,44","89,91M"
"05/02/2024","40,35","40,58","0,55","40,15","40,70","31,11M"
"02/02/2024","40,50","40,36","0,02","39,75","40,60","40,16M"
"01/02/2024","40,87","40,35","-1,01","40,00","40,87","52,86M"
"31/01/2024","39,50","40,76","3,32","39,50","41,80","111,82M"
"30/01/2024","40,20","39,45","-1,67","39,28","40,42","48,74M"
"29/01/2024","40,52","40,12","-1,30","39,95","40,92","38,17M"
"26/01/2024","41,10","40,65","-0,66","40,09","41,40","74,33M"
"25/01/2024","40,22","40,92","0,91","39,37","41,44","112,71M"
"24/01/2024","41,84","40,55","-3,08","39,66","41,88","147,14M"
"23/01/2024","39,17","41,84","10,60","39,17","42,00","223,32M"
"22/01/2024","38,62","37,83","-1,87","37,51","38,81","40,85M"
"19/01/2024","38,92","38,55","-0,18","37,92","38,99","40,93M"
"18/01/2024","39,23","38,62","-0,77","38,29","39,39","38,84M"
"17/01/2024","39,43","38,92","-1,59","38,54","39,70","54,47M"
"16/01/2024","40,65","39,55","-2,71","39,09","40,68","66,62M"
"15/01/2024","40,50","40,65","0,79","40,17","40,88","26,68M"
"12/01/2024","40,77","40,33","-0,67","40,24","41,35","43,90M"
"11/01/2024","40,94","40,60","-0,42","40,05","41,10","49,31M"
"10/01/2024","41,90","40,77","-2,32","40,50","42,18","40,25M"
"09/01/2024","42,17","41,74","-1,04","41,29","42,19","46,64M"
"08/01/2024","40,94","42,18","3,08","40,76","42,70","62,82M"
"05/01/2024","41,98","40,92","-2,55","40,80","42,31","72,03M"
"04/01/2024","42,60","41,99","-1,11","41,01","42,98","79,85M"
"03/01/2024","41,79","42,46","1,29","41,55","42,80","58,06M"
"02/01/2024","44,34","41,92","-5,37","41,66","44,41","99,90M"
