"DATA","ABERTURA","FECHAMENTO","VARIAÇÃO","MÍNIMO","MÁXIMO","VOLUME"
"25/10/2024","44,66","41,35","-6,49","41,32","44,95","99,31M"
"24/10/2024","47,91","44,22","-7,32","44,22","48,45","126,76M"
"23/10/2024","42,80","47,71","12,29","42,68","48,15","153,65M"
"22/10/2024","42,45","42,49","0,07","41,59","42,53","25,37M"
"21/10/2024","41,86","42,46","1,94","41,61","42,56","28,14M"
"18/10/2024","42,13","41,65","-0,93","41,35","42,46","28,21M"
"17/10/2024","43,14","42,04","-2,84","41,91","43,14","47,16M"
"16/10/2024","43,80","43,27","-1,66","43,03","44,04","45,83M"
"15/10/2024","43,87","44,00","0,00","43,53","44,46","32,21M"
"14/10/2024","43,39","44,00","1,22","43,10","44,31","43,29M"
"11/10/2024","43,15","43,47","0,58","42,73","43,69","26,56M"
"10/10/2024","42,94","43,22","0,65","42,60","43,34","26,21M"
"09/10/2024","43,99","42,94","-2,41","42,90","44,17","30,41M"
"08/10/2024","44,74","44,00","0,46","43,51","44,61","59,37M"
"07/10/2024","44,74","43,80","-1,77","43,50","45,20","31,27M"
"04/10/2024","43,78","44,59","2,01","43,10","44,83","31,23M"
"03/10/2024","44,90","43,71","-3,15","43,57","44,91","28,61M"
"02/10/2024","45,11","45,13","0,71","44,84","46,06","37,99M"
"01/10/2024","44,75","44,81","0,11","44,44","45,19","32,66M"
"30/09/2024","45,23","44,76","-1,73","43,94","45,50","31,01M"
"27/09/2024","45,50","45,55","0,11","45,15","46,08","48,77M"
"26/09/2024","46,30","45,50","-1,07","44,95","46,55","26,09M"
"25/09/2024","46,30","45,99","-0,11","45,77","46,71","92,89M"
"24/09/2024","45,79","46,04","1,25","45,77","46,50","34,61M"
"23/09/2024","45,22","45,47","0,55","44,54","46,19","45,42M"
"20/09/2024","45,80","45,22","-1,27","44,72","46,85","41,99M"
"19/09/2024","46,11","45,80","-0,69","45,24","46,89","36,45M"
"18/09/2024","46,15","46,12","-1,01","46,10","47,10","37,23M"
"17/09/2024","47,09","46,59","-1,10","46,45","47,42","30,47M"
"16/09/2024","47,19","47,11","-0,49","46,86","47,60","27,78M"
"13/09/2024","47,20","47,34","1,05","47,18","48,56","47,55M"
"12/09/2024","45,95","46,85","1,89","45,32","47,15","71,28M"
"11/09/2024","46,06","45,98","-4,61","43,65","46,12","168,03M"
"10/09/2024","47,72","48,20","0,42","47,33","48,62","40,19M"
"09/09/2024","49,95","48,00","-3,79","47,58","50,72","68,31M"
"06/09/2024","48,52","49,89","-3,48","49,41","52,35","185,67M"
"05/09/2024","48,52","51,69","6,14","48,52","51,72","108,90M"
"04/09/2024","51,72","48,70","-6,27","48,57","52,46","134,97M"
"03/09/2024","49,86","51,96","5,35","49,06","52,50","272,42M"
"02/09/2024","49,86","49,32","1,94","48,25","50,78","99,78M"
"30/08/2024","48,75","48,38","-0,60","47,53","48,89","113,00M"
"29/08/2024","48,75","48,67","-0,67","48,50","49,04","43,37M"
"28/08/2024","48,71","49,00","0,14","48,41","49,25","65,56M"
"27/08/2024","48,13","48,93","0,68","48,13","49,49","165,10M"
"26/08/2024","48,13","48,60","1,40","47,41","49,28","85,08M"
"23/08/2024","46,97","47,93","2,35","46,97","50,45","270,73M"
"22/08/2024","47,00","46,83","-0,47","45,73","47,60","109,75M"
"21/08/2024","45,89","47,05","2,53","45,82","47,14","85,49M"
"20/08/2024","46,37","45,89","-0,67","44,79","46,59","115,02M"
"19/08/2024","44,86","46,20","2,99","44,49","46,97","160,83M"
"16/08/2024","43,11","44,86","5,58","43,11","47,00","340,57M"
"15/08/2024","36,51","42,49","30,66","35,85","42,50","464,60M"
"14/08/2024","31,80","32,52","1,98","31,43","33,00","53,12M"
"13/08/2024","30,43","31,89","5,88","30,20","31,96","64,33M"
"12/08/2024","29,70","30,12","2,31","29,53","30,57","34,10M"
"09/08/2024","29,14","29,44","1,48","28,86","29,70","34,69M"
"08/08/2024","29,20","29,01","-0,17","28,88","29,40","20,10M"
"07/08/2024","28,69","29,06","1,40","28,61","29,23","21,56M"
"06/08/2024","28,85","28,66","-0,03","28,18","29,10","20,45M"
"05/08/2024","28,05","28,67","0,07","27,51","28,77","34,08M"
"02/08/2024","28,72","28,65","-0,97","28,48","29,66","19,21M"
"01/08/2024","29,31","28,93","-1,30","28,78","29,99","21,06M"
"31/07/2024","29,08","29,31","1,00","29,04","29,55","18,67M"
"30/07/2024","28,99","29,02","-0,17","28,53","29,02","13,00M"
"29/07/2024","29,21","29,07","-0,48","28,72","29,35","20,05M"
"26/07/2024","28,51","29,21","2,71","28,42","29,45","62,59M"
"25/07/2024","28,99","28,44","-1,39","28,41","29,28","99,33M"
"24/07/2024","29,81","28,84","-2,80","28,72","29,95","58,42M"
"23/07/2024","30,89","29,67","-4,07","29,65","30,89","26,16M"
"22/07/2024","30,00","30,93","3,13","30,00","31,16","32,02M"
"19/07/2024","31,57","29,99","-4,49","29,75","32,13","70,06M"
"18/07/2024","32,05","31,40","-2,91","31,40","32,37","23,88M"
"17/07/2024","32,13","32,34","0,72","31,67","32,38","21,22M"
"16/07/2024","31,59","32,11","0,91","31,59","32,66","33,10M"
"15/07/2024","31,51","31,82","1,11","31,23","31,95","18,79M"
"12/07/2024","31,03","31,47","1,55","30,85","31,62","25,24M"
