DATA;ABERTURA;FECHAMENTO;VARIAÇÃO;MÍNIMO;MÁXIMO;VOLUME;SELIC
02/01/2024;0.1582;0.147;0.09182;0.1466;0.1582;0.26716;0.043739
03/01/2024;0.147;0.1421;0.09667;0.1418;0.1485;0.21084999999999998;0.043739
04/01/2024;0.1421;0.1384;0.0974;0.1377;0.1432;0.15172999999999998;0.043739
05/01/2024;0.1376;0.1383;0.09993;0.1354;0.142;0.16444999999999999;0.043739
08/01/2024;0.13720000000000002;0.1489;0.10765999999999999;0.13699999999999998;0.1491;0.28341000000000005;0.043739
09/01/2024;0.146;0.1482;0.09953000000000001;0.1442;0.1502;0.17893;0.043739
10/01/2024;0.1491;0.1469;0.09912;0.14679999999999999;0.1527;0.19494999999999998;0.043739
11/01/2024;0.1476;0.1422;0.0968;0.1409;0.14880000000000002;0.18253999999999998;0.043739
12/01/2024;0.1413;0.13970000000000002;0.09824;0.1386;0.1458;0.16003;0.043739
15/01/2024;0.136;0.1364;0.09764;0.13269999999999998;0.139;0.21253;0.043739
16/01/2024;0.1352;0.1292;0.09472;0.1267;0.1356;0.35234;0.043739
17/01/2024;0.1283;0.1255;0.09714;0.1255;0.1325;0.18009999999999998;0.043739
18/01/2024;0.1278;0.12619999999999998;0.10056;0.125;0.1305;0.14006;0.043739
19/01/2024;0.1278;0.1311;0.10388;0.1249;0.1326;0.20351;0.043739
22/01/2024;0.13419999999999999;0.1325;0.10107;0.1315;0.1393;0.22072999999999998;0.043739
23/01/2024;0.13470000000000001;0.1353;0.10211;0.13390000000000002;0.1373;0.14133;0.043739
24/01/2024;0.1373;0.13269999999999998;0.09808;0.13269999999999998;0.1386;0.13513;0.043739
25/01/2024;0.13449999999999998;0.1407;0.10603;0.13369999999999999;0.1408;0.31235;0.043739
26/01/2024;0.1418;0.1427;0.10142;0.138;0.1436;0.27024000000000004;0.043739
29/01/2024;0.142;0.1384;0.09698999999999999;0.13720000000000002;0.1436;0.16757;0.043739
30/01/2024;0.1375;0.132;0.09537999999999999;0.1317;0.13970000000000002;0.26127;0.043739
31/01/2024;0.1318;0.134;0.10152;0.1317;0.1392;0.19616999999999998;0.043739
01/02/2024;0.1349;0.1325;0.09888;0.128;0.136;0.23654;0.041957
02/02/2024;0.1407;0.1373;0.10362;0.1343;0.1423;0.24227;0.041957
05/02/2024;0.135;0.1291;0.09403;0.1288;0.1384;0.19322999999999999;0.041957
06/02/2024;0.1295;0.134;0.1038;0.1295;0.1361;0.20096;0.041957
07/02/2024;0.1329;0.1301;0.09709000000000001;0.1294;0.1334;0.13748;0.041957
08/02/2024;0.1295;0.12380000000000001;0.09516;0.1207;0.13;0.28534;0.041957
09/02/2024;0.124;0.1215;0.09814;0.1208;0.1257;0.1423;0.041957
14/02/2024;0.12;0.12140000000000001;0.09992;0.11900000000000001;0.1234;0.12492;0.041957
15/02/2024;0.12179999999999999;0.1216;0.10016;0.1207;0.125;0.1394;0.041957
16/02/2024;0.1226;0.122;0.10033;0.11900000000000001;0.1252;0.29374;0.041957
19/02/2024;0.1217;0.1197;0.09811;0.1191;0.1217;0.08786;0.041957
20/02/2024;0.11939999999999999;0.12359999999999999;0.10326;0.11720000000000001;0.124;0.16107;0.041957
21/02/2024;0.12300000000000001;0.1182;0.09562999999999999;0.11800000000000001;0.1231;0.13648;0.041957
22/02/2024;0.1195;0.1202;0.10169;0.1195;0.1233;0.15721000000000002;0.041957
23/02/2024;0.121;0.1174;0.09767;0.1174;0.12240000000000001;0.13158;0.041957
26/02/2024;0.1175;0.1173;0.09991;0.1162;0.1195;0.12279000000000001;0.041957
27/02/2024;0.11869999999999999;0.1257;0.10715999999999999;0.1186;0.12619999999999998;0.22347;0.041957
28/02/2024;0.1245;0.12279999999999999;0.09769;0.12240000000000001;0.12560000000000002;0.11907999999999999;0.041957
29/02/2024;0.122;0.1209;0.09845000000000001;0.1199;0.1243;0.11413;0.041957
01/03/2024;0.1211;0.1225;0.10132;0.1186;0.1231;0.12066;0.041957
04/03/2024;0.12300000000000001;0.11900000000000001;0.09714;0.1188;0.1233;0.11204;0.041957
05/03/2024;0.1216;0.12359999999999999;0.10387;0.1215;0.12689999999999999;0.27625;0.041957
06/03/2024;0.1251;0.1231;0.0996;0.12179999999999999;0.1268;0.12502;0.041957
07/03/2024;0.1233;0.1209;0.09820999999999999;0.12050000000000001;0.1245;0.07851999999999999;0.041957
