"DATA","ABERTURA","FECHAMENTO","VARIAÇÃO","MÍNIMO","MÁXIMO","VOLUME"
"14/11/2024","5,14","5,33","2,50","5,10","5,53","199,62M"
"13/11/2024","5,07","5,20","0,39","5,04","5,24","159,63M"
"12/11/2024","5,07","5,18","2,17","5,03","5,23","135,13M"
"11/11/2024","5,07","5,07","-0,78","4,99","5,13","55,80M"
"08/11/2024","5,34","5,11","-0,20","4,93","5,14","206,31M"
"07/11/2024","5,08","5,12","-4,12","5,05","5,42","233,45M"
"06/11/2024","5,15","5,34","0,57","5,04","5,35","254,93M"
"05/11/2024","5,43","5,31","3,71","4,98","5,39","276,54M"
"04/11/2024","5,43","5,12","-3,58","5,07","5,47","134,47M"
"01/11/2024","5,67","5,31","-6,51","5,26","5,67","116,30M"
"31/10/2024","5,80","5,68","-1,90","5,62","5,87","97,34M"
"30/10/2024","5,85","5,79","-0,69","5,73","5,99","123,71M"
"29/10/2024","6,12","5,83","-4,58","5,79","6,18","157,80M"
"28/10/2024","5,90","6,11","13,99","5,75","6,26","329,54M"
"25/10/2024","5,48","5,36","-2,72","5,30","5,55","91,86M"
"24/10/2024","5,48","5,51","0,55","5,39","5,68","135,19M"
"23/10/2024","5,70","5,48","-2,66","5,46","5,74","105,11M"
"22/10/2024","5,91","5,63","-5,70","5,62","5,98","143,66M"
"21/10/2024","5,95","5,97","0,67","5,89","6,06","81,21M"
"18/10/2024","6,11","5,93","-2,47","5,90","6,19","102,20M"
"17/10/2024","6,05","6,08","-0,49","6,02","6,17","110,37M"
"16/10/2024","5,85","6,11","3,91","5,84","6,17","160,20M"
"15/10/2024","6,15","5,88","-2,97","5,82","6,27","138,97M"
"14/10/2024","5,93","6,06","2,19","5,80","6,06","120,69M"
"11/10/2024","5,85","5,93","2,07","5,65","6,05","194,57M"
"10/10/2024","6,26","5,81","-5,99","5,74","6,27","186,74M"
"09/10/2024","6,20","6,18","0,00","6,11","6,50","182,45M"
"08/10/2024","6,60","6,18","7,48","6,18","7,00","473,60M"
"07/10/2024","5,92","5,75","-2,21","5,71","6,02","93,29M"
"04/10/2024","6,00","5,88","-1,01","5,80","6,02","116,21M"
"03/10/2024","6,08","5,94","-4,81","5,86","6,24","194,12M"
"02/10/2024","5,99","6,24","4,87","5,97","6,24","172,04M"
"01/10/2024","6,25","5,95","-4,65","5,87","6,38","263,02M"
"30/09/2024","5,77","6,24","4,87","5,75","6,29","202,63M"
"27/09/2024","5,60","5,95","6,06","5,42","5,99","506,02M"
"26/09/2024","5,31","5,61","10,00","5,31","5,85","273,66M"
"25/09/2024","5,08","5,10","0,20","4,92","5,24","143,60M"
"24/09/2024","5,53","5,09","-5,04","5,06","5,55","177,77M"
"23/09/2024","4,88","5,36","1,90","4,84","5,47","219,33M"
"20/09/2024","5,62","5,26","-6,24","5,21","5,70","158,88M"
"19/09/2024","5,80","5,61","-0,18","5,48","5,96","285,47M"
"18/09/2024","6,25","5,62","-10,08","5,62","6,87","484,38M"
"17/09/2024","5,55","6,25","13,84","5,35","6,30","435,08M"
"16/09/2024","5,37","5,49","10,91","5,11","5,71","347,60M"
"13/09/2024","4,07","4,95","22,52","4,06","4,95","281,76M"
"12/09/2024","4,19","4,04","-2,65","4,03","4,20","93,46M"
"11/09/2024","4,24","4,15","-1,66","4,05","4,32","112,52M"
"10/09/2024","4,19","4,22","3,69","3,91","4,36","212,66M"
"09/09/2024","4,49","4,07","-8,33","4,02","4,56","176,02M"
"06/09/2024","4,85","4,44","-6,33","4,40","5,03","254,72M"
"05/09/2024","4,85","4,74","-3,66","4,70","4,93","105,87M"
"04/09/2024","5,00","4,92","1,23","4,65","5,15","169,14M"
"03/09/2024","5,43","4,86","10,20","4,03","4,98","428,59M"
"02/09/2024","5,43","4,41","-18,18","4,41","5,45","189,22M"
"30/08/2024","7,16","5,39","-2,00","5,36","5,93","863,46M"
"29/08/2024","7,16","5,50","-24,14","5,35","7,16","552,81M"
"28/08/2024","7,45","7,25","-2,68","7,25","7,45","113,65M"
"27/08/2024","7,59","7,45","-1,84","7,42","7,63","147,21M"
"26/08/2024","7,61","7,59","-0,13","7,48","7,65","64,37M"
"23/08/2024","7,48","7,60","2,01","7,46","7,68","104,15M"
"22/08/2024","7,79","7,45","-4,24","7,41","7,79","133,84M"
"21/08/2024","7,72","7,78","1,17","7,72","8,09","131,18M"
"20/08/2024","7,81","7,69","-1,66","7,58","7,83","107,04M"
"19/08/2024","7,51","7,82","5,53","7,37","7,92","156,51M"
"16/08/2024","7,84","7,41","-4,26","7,41","7,90","152,80M"
"15/08/2024","7,80","7,74","-0,13","7,60","7,93","113,16M"
"14/08/2024","7,35","7,75","6,46","7,29","7,82","248,94M"
"13/08/2024","7,05","7,28","4,00","7,02","7,36","167,74M"
"12/08/2024","7,49","7,00","-11,95","7,00","7,74","362,16M"
"09/08/2024","7,72","7,95","3,79","7,29","7,97","280,33M"
"08/08/2024","7,78","7,66","-1,54","7,56","7,82","120,43M"
"07/08/2024","8,01","7,78","0,00","7,75","8,08","124,08M"
"06/08/2024","7,80","7,78","0,65","7,64","8,08","140,28M"
"05/08/2024","7,51","7,73","-2,77","7,33","7,74","153,94M"
"02/08/2024","7,88","7,95","1,15","7,77","8,12","125,81M"
"01/08/2024","8,10","7,86","-1,75","7,74","8,33","126,66M"
"31/07/2024","8,10","8,00","-1,84","8,00","8,29","138,03M"
"30/07/2024","7,85","8,15","2,26","7,85","8,17","109,56M"
"29/07/2024","8,31","7,97","-3,39","7,92","8,35","102,38M"
"26/07/2024","7,84","8,25","6,87","7,73","8,26","266,15M"
"25/07/2024","7,85","7,72","-1,28","7,63","7,92","250,13M"
"24/07/2024","8,04","7,82","-3,58","7,78","8,13","93,81M"
"23/07/2024","8,28","8,11","-2,99","8,04","8,33","88,06M"
"22/07/2024","8,45","8,36","-0,24","8,36","8,66","89,39M"
"19/07/2024","8,25","8,38","2,32","8,25","8,48","264,77M"
"18/07/2024","8,70","8,19","-7,87","8,01","8,84","171,07M"
"17/07/2024","8,99","8,89","-2,20","8,89","9,18","101,54M"
"16/07/2024","8,95","9,09","1,00","8,90","9,21","104,92M"
"15/07/2024","8,81","9,00","1,93","8,64","9,03","82,99M"
"12/07/2024","8,71","8,83","2,32","8,29","8,83","103,91M"
"11/07/2024","8,55","8,63","1,89","8,47","8,78","110,64M"
"10/07/2024","8,83","8,47","-4,83","8,46","8,96","146,46M"
"09/07/2024","8,59","8,90","3,13","8,53","9,03","284,27M"
"08/07/2024","8,20","8,63","4,99","8,09","8,70","139,77M"
"05/07/2024","7,83","8,22","5,38","7,54","8,33","216,30M"
"04/07/2024","7,75","7,80","4,14","7,52","7,85","119,98M"
"03/07/2024","7,35","7,49","3,60","7,40","7,70","262,55M"
"02/07/2024","7,35","7,23","-0,96","7,02","7,37","194,64M"
"28/06/2024","7,38","7,34","-6,02","7,29","7,84","251,29M"
"27/06/2024","7,38","7,81","6,84","7,32","7,83","113,96M"
"26/06/2024","7,55","7,31","-5,56","7,31","7,56","114,17M"
"25/06/2024","7,91","7,74","-2,64","7,71","7,95","68,55M"
"24/06/2024","7,71","7,95","3,52","7,71","8,04","89,30M"
"21/06/2024","7,77","7,68","-0,65","7,64","7,99","307,80M"
"20/06/2024","8,25","7,73","-4,09","7,73","8,44","280,74M"
"19/06/2024","8,47","8,06","-4,62","8,06","8,52","232,66M"
"18/06/2024","8,99","8,45","-6,11","8,45","9,05","183,37M"
"17/06/2024","9,08","9,00","-1,32","8,91","9,14","74,51M"
"14/06/2024","9,19","9,12","-0,87","9,06","9,31","79,88M"
"13/06/2024","9,28","9,20","-1,08","9,10","9,34","67,04M"
"12/06/2024","9,65","9,30","-2,62","9,25","9,75","78,25M"
"11/06/2024","9,10","9,55","4,03","9,10","9,58","63,33M"
"10/06/2024","9,25","9,18","-0,54","9,14","9,34","52,37M"
"07/06/2024","9,40","9,23","-3,95","9,08","9,48","102,09M"
"06/06/2024","9,51","9,61","2,56","9,44","9,71","102,55M"
"05/06/2024","9,20","9,37","2,18","9,20","9,65","187,81M"
"04/06/2024","9,36","9,17","-2,55","9,12","9,39","86,80M"
"03/06/2024","9,55","9,41","-0,63","9,26","9,65","97,81M"
"31/05/2024","9,35","9,47","2,05","9,21","9,67","138,93M"
"29/05/2024","9,60","9,28","-3,63","9,23","9,75","135,82M"
"28/05/2024","10,27","9,63","-4,84","9,60","10,37","158,05M"
"27/05/2024","10,43","10,12","-2,32","9,99","10,65","79,68M"
"24/05/2024","10,21","10,36","5,18","10,20","10,87","226,90M"
"23/05/2024","10,00","9,85","-1,30","9,83","10,14","73,46M"
"22/05/2024","10,30","9,98","-4,31","9,97","10,34","81,64M"
"21/05/2024","10,30","10,43","2,05","10,16","10,44","73,48M"
"20/05/2024","10,10","10,22","1,49","9,84","10,38","105,48M"
"17/05/2024","10,19","10,07","-1,76","9,98","10,25","303,49M"
"16/05/2024","10,92","10,25","-5,44","10,13","11,03","197,33M"
"15/05/2024","10,99","10,84","-2,25","10,84","11,12","263,85M"
"14/05/2024","11,22","11,09","-0,81","10,90","11,44","155,33M"
"13/05/2024","11,10","11,18","1,36","11,03","11,41","180,95M"
"10/05/2024","11,08","11,03","-0,45","10,88","11,22","118,63M"
"09/05/2024","10,88","11,08","-0,36","10,37","11,08","169,05M"
"08/05/2024","10,86","11,12","1,46","10,72","11,12","163,86M"
"07/05/2024","11,03","10,96","0,27","10,91","11,31","110,65M"
"06/05/2024","10,80","10,93","-0,18","10,77","11,11","119,03M"
"03/05/2024","10,55","10,95","7,78","10,53","11,00","241,27M"
"02/05/2024","10,04","10,16","4,21","9,90","10,21","121,76M"
"30/04/2024","9,79","9,75","-2,79","9,66","10,10","124,77M"
"29/04/2024","9,82","10,03","2,66","9,82","10,22","182,74M"
"26/04/2024","9,45","9,77","5,97","9,32","9,84","149,43M"
"25/04/2024","9,45","9,22","-3,86","8,86","9,45","238,93M"
"24/04/2024","9,99","9,59","-3,52","9,57","10,05","143,62M"
"23/04/2024","10,06","9,94","-1,88","9,92","10,15","109,16M"
"22/04/2024","10,01","10,13","1,91","9,93","10,29","131,60M"
"19/04/2024","10,00","9,94","-1,29","9,85","10,32","200,58M"
"18/04/2024","10,38","10,07","-3,82","9,72","10,81","311,87M"
"17/04/2024","10,86","10,47","0,00","10,29","11,00","172,80M"
"16/04/2024","10,35","10,47","-2,06","9,88","10,66","262,76M"
"15/04/2024","11,16","10,69","-4,21","10,44","11,34","282,59M"
"12/04/2024","12,25","11,16","-10,07","11,03","12,25","342,86M"
"11/04/2024","12,79","12,41","-2,74","12,33","12,83","120,87M"
"10/04/2024","13,53","12,76","-6,93","12,68","13,57","187,22M"
"09/04/2024","13,43","13,71","3,08","13,31","13,76","85,11M"
"08/04/2024","13,05","13,30","2,62","12,95","13,58","108,90M"
"05/04/2024","13,00","12,96","0,47","12,84","13,20","84,93M"
"04/04/2024","12,60","12,90","2,79","12,60","13,48","309,34M"
"03/04/2024","12,58","12,55","-0,40","12,28","12,67","118,88M"
"02/04/2024","12,93","12,60","-2,85","12,60","13,09","282,83M"
"01/04/2024","13,36","12,97","-0,54","12,66","13,39","183,03M"
"28/03/2024","14,50","13,04","-7,65","13,00","14,52","286,96M"
"27/03/2024","14,02","14,12","0,86","13,86","14,35","99,72M"
"26/03/2024","14,10","14,00","-0,57","13,97","14,45","172,85M"
"25/03/2024","13,91","14,08","0,14","13,90","14,20","70,26M"
"22/03/2024","14,16","14,06","-1,47","14,00","14,42","110,99M"
"21/03/2024","14,40","14,27","-0,90","14,08","14,49","166,51M"
"20/03/2024","13,79","14,40","4,42","13,75","14,54","200,98M"
"19/03/2024","13,83","13,79","-0,22","13,60","14,09","160,52M"
"18/03/2024","13,54","13,82","2,45","13,16","13,82","181,12M"
"15/03/2024","12,65","13,49","6,89","12,36","13,49","317,62M"
"14/03/2024","12,80","12,62","-0,94","12,36","12,80","234,60M"
"13/03/2024","12,44","12,74","1,92","12,26","12,87","302,54M"
"12/03/2024","12,16","12,50","3,39","11,93","12,60","285,68M"
"11/03/2024","12,15","12,09","-1,63","12,08","12,41","115,57M"
"08/03/2024","11,96","12,29","1,65","11,88","12,65","133,63M"
"07/03/2024","12,33","12,09","-1,79","12,05","12,45","78,52M"
"06/03/2024","12,51","12,31","-0,40","12,18","12,68","125,02M"
"05/03/2024","12,16","12,36","3,87","12,15","12,69","276,25M"
"04/03/2024","12,30","11,90","-2,86","11,88","12,33","112,04M"
"01/03/2024","12,11","12,25","1,32","11,86","12,31","120,66M"
"29/02/2024","12,20","12,09","-1,55","11,99","12,43","114,13M"
"28/02/2024","12,45","12,28","-2,31","12,24","12,56","119,08M"
"27/02/2024","11,87","12,57","7,16","11,86","12,62","223,47M"
"26/02/2024","11,75","11,73","-0,09","11,62","11,95","122,79M"
"23/02/2024","12,10","11,74","-2,33","11,74","12,24","131,58M"
"22/02/2024","11,95","12,02","1,69","11,95","12,33","157,21M"
"21/02/2024","12,30","11,82","-4,37","11,80","12,31","136,48M"
"20/02/2024","11,94","12,36","3,26","11,72","12,40","161,07M"
"19/02/2024","12,17","11,97","-1,89","11,91","12,17","87,86M"
"16/02/2024","12,26","12,20","0,33","11,90","12,52","293,74M"
"15/02/2024","12,18","12,16","0,16","12,07","12,50","139,40M"
"14/02/2024","12,00","12,14","-0,08","11,90","12,34","124,92M"
"09/02/2024","12,40","12,15","-1,86","12,08","12,57","142,30M"
"08/02/2024","12,95","12,38","-4,84","12,07","13,00","285,34M"
"07/02/2024","13,29","13,01","-2,91","12,94","13,34","137,48M"
"06/02/2024","12,95","13,40","3,80","12,95","13,61","200,96M"
"05/02/2024","13,50","12,91","-5,97","12,88","13,84","193,23M"
"02/02/2024","14,07","13,73","3,62","13,43","14,23","242,27M"
"01/02/2024","13,49","13,25","-1,12","12,80","13,60","236,54M"
"31/01/2024","13,18","13,40","1,52","13,17","13,92","196,17M"
"30/01/2024","13,75","13,20","-4,62","13,17","13,97","261,27M"
"29/01/2024","14,20","13,84","-3,01","13,72","14,36","167,57M"
"26/01/2024","14,18","14,27","1,42","13,80","14,36","270,24M"
"25/01/2024","13,45","14,07","6,03","13,37","14,08","312,35M"
"24/01/2024","13,73","13,27","-1,92","13,27","13,86","135,13M"
"23/01/2024","13,47","13,53","2,11","13,39","13,73","141,33M"
"22/01/2024","13,42","13,25","1,07","13,15","13,93","220,73M"
"19/01/2024","12,78","13,11","3,88","12,49","13,26","203,51M"
"18/01/2024","12,78","12,62","0,56","12,50","13,05","140,06M"
"17/01/2024","12,83","12,55","-2,86","12,55","13,25","180,10M"
"16/01/2024","13,52","12,92","-5,28","12,67","13,56","352,34M"
"15/01/2024","13,60","13,64","-2,36","13,27","13,90","212,53M"
"12/01/2024","14,13","13,97","-1,76","13,86","14,58","160,03M"
"11/01/2024","14,76","14,22","-3,20","14,09","14,88","182,54M"
"10/01/2024","14,91","14,69","-0,88","14,68","15,27","194,95M"
"09/01/2024","14,60","14,82","-0,47","14,42","15,02","178,93M"
"08/01/2024","13,72","14,89","7,66","13,70","14,91","283,41M"
"05/01/2024","13,76","13,83","-0,07","13,54","14,20","164,45M"
"04/01/2024","14,21","13,84","-2,60","13,77","14,32","151,73M"
"03/01/2024","14,70","14,21","-3,33","14,18","14,85","210,85M"
"02/01/2024","15,82","14,70","-8,18","14,66","15,82","267,16M"
