"DATA","ABERTURA","FECHAMENTO","VARIAÇÃO","MÍNIMO","MÁXIMO","VOLUME"
"14/11/2024","1,40","1,35","-4,26","1,35","1,43","105,41M"
"13/11/2024","1,47","1,41","0,71","1,36","1,42","95,29M"
"12/11/2024","1,36","1,40","-5,41","1,40","1,49","105,82M"
"11/11/2024","1,36","1,48","8,82","1,35","1,49","60,08M"
"08/11/2024","1,53","1,36","-4,23","1,34","1,50","208,62M"
"07/11/2024","1,47","1,42","-7,19","1,42","1,55","139,79M"
"06/11/2024","1,50","1,53","1,32","1,45","1,54","166,36M"
"05/11/2024","1,40","1,51","0,00","1,44","1,54","182,98M"
"04/11/2024","1,40","1,51","11,03","1,39","1,52","91,13M"
"01/11/2024","1,42","1,36","-3,55","1,35","1,43","49,68M"
"31/10/2024","1,46","1,41","-3,42","1,41","1,48","36,40M"
"30/10/2024","1,42","1,46","2,82","1,41","1,50","37,60M"
"29/10/2024","1,46","1,42","-2,07","1,41","1,47","20,92M"
"28/10/2024","1,45","1,45","1,40","1,44","1,48","33,31M"
"25/10/2024","1,48","1,43","-3,38","1,42","1,51","47,04M"
"24/10/2024","1,41","1,48","4,23","1,39","1,52","69,37M"
"23/10/2024","1,36","1,42","4,41","1,35","1,43","42,30M"
"22/10/2024","1,37","1,36","-1,45","1,36","1,41","28,48M"
"21/10/2024","1,35","1,38","2,22","1,35","1,39","31,27M"
"18/10/2024","1,38","1,35","-1,46","1,34","1,39","31,88M"
"17/10/2024","1,37","1,37","-1,44","1,35","1,38","24,12M"
"16/10/2024","1,36","1,39","2,96","1,34","1,41","44,48M"
"15/10/2024","1,36","1,35","0,00","1,34","1,38","30,72M"
"14/10/2024","1,32","1,35","1,50","1,30","1,38","71,19M"
"11/10/2024","1,32","1,33","0,76","1,29","1,34","35,86M"
"10/10/2024","1,33","1,32","-0,75","1,29","1,34","58,18M"
"09/10/2024","1,40","1,33","-6,34","1,32","1,40","69,73M"
"08/10/2024","1,33","1,42","12,70","1,31","1,44","120,76M"
"07/10/2024","1,27","1,26","0,00","1,24","1,30","46,78M"
"04/10/2024","1,24","1,26","2,44","1,23","1,27","30,46M"
"03/10/2024","1,27","1,23","-3,15","1,22","1,28","43,97M"
"02/10/2024","1,30","1,27","-0,78","1,26","1,33","38,79M"
"01/10/2024","1,29","1,28","0,00","1,27","1,32","47,08M"
"30/09/2024","1,34","1,28","-3,76","1,27","1,34","40,74M"
"27/09/2024","1,32","1,33","-0,75","1,31","1,37","142,13M"
"26/09/2024","1,32","1,34","7,20","1,30","1,40","103,09M"
"25/09/2024","1,33","1,25","-5,30","1,24","1,33","71,69M"
"24/09/2024","1,32","1,32","2,33","1,29","1,33","36,36M"
"23/09/2024","1,33","1,29","-2,27","1,29","1,34","71,56M"
"20/09/2024","1,42","1,32","-6,38","1,32","1,43","69,34M"
"19/09/2024","1,46","1,41","-2,08","1,40","1,50","45,99M"
"18/09/2024","1,47","1,44","-3,36","1,44","1,53","63,57M"
"17/09/2024","1,44","1,49","2,76","1,42","1,49","25,92M"
"16/09/2024","1,47","1,45","-1,36","1,45","1,49","19,14M"
"13/09/2024","1,40","1,47","5,00","1,40","1,50","47,40M"
"12/09/2024","1,44","1,40","-2,10","1,40","1,46","31,33M"
