"DATA","ABERTURA","FECHAMENTO","VARIAÇÃO","MÍNIMO","MÁXIMO","VOLUME"
"14/11/2024","5,45","5,28","0,96","5,20","5,42","128,21M"
"13/11/2024","5,78","5,23","-5,77","5,21","5,58","132,73M"
"12/11/2024","5,81","5,55","-3,81","5,54","5,79","104,70M"
"11/11/2024","5,81","5,77","-1,37","5,70","5,81","50,02M"
"08/11/2024","6,22","5,85","-5,49","5,84","6,07","131,90M"
"07/11/2024","6,07","6,19","0,49","6,15","6,30","129,41M"
"06/11/2024","6,32","6,16","-0,81","5,96","6,22","93,22M"
"05/11/2024","6,28","6,21","-1,43","6,21","6,34","81,86M"
"04/11/2024","6,28","6,30","1,94","6,14","6,36","54,45M"
"01/11/2024","6,25","6,18","-0,48","6,04","6,27","68,45M"
"31/10/2024","6,05","6,21","2,31","6,03","6,22","47,25M"
"30/10/2024","6,01","6,07","1,00","6,01","6,11","35,59M"
"29/10/2024","6,05","6,01","-0,83","5,97","6,10","43,74M"
"28/10/2024","6,05","6,06","1,85","5,99","6,10","34,58M"
"25/10/2024","5,86","5,95","1,88","5,86","5,98","41,00M"
"24/10/2024","5,85","5,84","-0,17","5,78","5,88","27,38M"
"23/10/2024","5,88","5,85","-1,85","5,85","5,92","26,21M"
"22/10/2024","5,93","5,96","-0,67","5,88","5,97","29,49M"
"21/10/2024","5,96","6,00","1,18","5,93","6,04","36,05M"
"18/10/2024","6,00","5,93","-0,17","5,89","6,08","40,68M"
"17/10/2024","5,85","5,94","0,51","5,78","5,97","51,01M"
"16/10/2024","6,00","5,91","-0,67","5,91","6,11","56,33M"
"15/10/2024","5,97","5,95","-0,50","5,90","5,99","25,64M"
"14/10/2024","5,94","5,98","0,67","5,86","5,98","31,38M"
"11/10/2024","5,86","5,94","1,02","5,81","5,94","32,87M"
"10/10/2024","5,95","5,88","-0,34","5,85","5,99","32,39M"
"09/10/2024","6,00","5,90","-2,48","5,89","6,01","53,75M"
"08/10/2024","6,10","6,05","-3,66","5,99","6,11","68,53M"
"07/10/2024","6,37","6,28","-0,95","6,24","6,40","54,80M"
"04/10/2024","6,59","6,34","-4,80","6,31","6,59","75,93M"
"03/10/2024","6,78","6,66","-1,91","6,60","6,84","89,11M"
"02/10/2024","6,66","6,79","3,09","6,66","6,84","90,24M"
"01/10/2024","6,50","6,59","3,19","6,43","6,69","96,72M"
"30/09/2024","6,61","6,38","-0,14","6,29","6,64","63,66M"
"27/09/2024","6,71","6,39","-4,03","6,39","6,67","227,09M"
"26/09/2024","6,40","6,66","6,67","6,36","6,66","158,63M"
"25/09/2024","6,14","6,24","2,43","6,14","6,34","89,78M"
"24/09/2024","6,09","6,10","4,11","6,03","6,23","94,74M"
"23/09/2024","5,78","5,86","-0,16","5,56","6,01","65,25M"
"20/09/2024","5,92","5,86","-1,09","5,77","5,94","66,46M"
"19/09/2024","5,94","5,93","1,27","5,91","6,12","102,49M"
"18/09/2024","6,23","5,86","-8,26","5,86","6,29","98,19M"
"17/09/2024","6,48","6,38","-2,82","6,31","6,72","133,25M"
"16/09/2024","6,15","6,57","6,93","6,05","6,57","92,02M"
"13/09/2024","5,85","6,14","5,23","5,83","6,14","123,64M"
"12/09/2024","5,74","5,84","3,28","5,71","5,89","134,59M"
"11/09/2024","5,51","5,65","2,86","5,51","5,70","99,56M"
"10/09/2024","5,46","5,49","0,51","5,39","5,55","79,97M"
"09/09/2024","5,68","5,47","-4,37","5,43","5,70","111,80M"
"06/09/2024","5,25","5,72","4,22","5,45","5,74","202,46M"
"05/09/2024","5,25","5,49","3,31","5,20","5,51","87,34M"
"04/09/2024","5,20","5,31","2,68","5,18","5,37","62,14M"
"03/09/2024","5,15","5,17","-2,10","5,15","5,25","99,44M"
"02/09/2024","5,15","5,28","0,53","5,13","5,31","45,12M"
"30/08/2024","5,12","5,25","0,53","5,18","5,39","141,19M"
