"DATA","ABERTURA","FECHAMENTO","VARIAÇÃO","MÍNIMO","MÁXIMO","VOLUME"
"14/11/2024","54,42","55,42","-2,24","54,95","57,10","888,42M"
"13/11/2024","55,67","56,69","4,73","54,42","57,28","973,17M"
"12/11/2024","54,34","54,13","-2,73","53,26","56,00","910,50M"
"11/11/2024","54,34","55,65","3,46","53,92","56,01","495,51M"
"08/11/2024","50,05","53,79","7,47","49,40","55,28","999,99M"
"07/11/2024","48,50","50,05","-0,99","49,54","50,39","431,76M"
"06/11/2024","48,80","50,55","3,02","48,50","50,58","378,75M"
"05/11/2024","48,88","49,07","0,04","48,32","49,30","303,68M"
"04/11/2024","48,88","49,05","1,20","48,85","49,50","136,88M"
"01/11/2024","48,74","48,47","-0,02","47,94","49,02","205,25M"
"31/10/2024","49,10","48,48","-1,22","48,48","50,08","248,20M"
"30/10/2024","50,22","49,08","-2,08","49,08","50,53","209,16M"
"29/10/2024","49,10","50,12","2,41","49,10","50,65","261,33M"
"28/10/2024","50,01","48,94","-1,25","48,94","50,34","163,00M"
"25/10/2024","49,50","49,56","0,08","49,15","50,59","214,36M"
"24/10/2024","49,10","49,52","0,75","48,82","50,03","243,35M"
"23/10/2024","49,63","49,15","-0,97","49,11","50,25","181,84M"
"22/10/2024","49,97","49,63","-0,70","48,62","50,05","248,14M"
"21/10/2024","48,48","49,98","4,17","48,45","50,25","299,00M"
"18/10/2024","48,84","47,98","-0,25","47,98","48,70","339,63M"
"17/10/2024","46,50","48,10","-1,37","48,10","48,99","645,57M"
"16/10/2024","46,50","48,77","6,74","46,22","48,79","484,21M"
"15/10/2024","46,45","45,69","-1,17","45,56","47,23","196,64M"
"14/10/2024","45,18","46,23","1,90","45,17","46,60","252,29M"
"11/10/2024","46,82","45,37","-2,95","45,37","46,99","211,10M"
"10/10/2024","46,00","46,75","1,67","45,64","47,04","210,14M"
"09/10/2024","45,80","45,98","0,11","45,72","46,64","206,30M"
"08/10/2024","46,25","45,93","0,15","45,65","47,05","345,09M"
"07/10/2024","46,25","45,86","-0,17","45,82","46,65","180,43M"
"04/10/2024","46,02","45,94","1,68","45,33","46,65","469,71M"
"03/10/2024","46,02","45,18","-2,48","45,18","46,67","237,76M"
"02/10/2024","47,96","46,33","-1,70","46,33","48,00","232,46M"
"01/10/2024","48,55","47,13","-1,75","47,13","48,55","183,38M"
"30/09/2024","48,26","47,97","-0,62","47,46","48,57","177,47M"
"27/09/2024","50,45","48,27","-3,71","48,27","50,22","348,30M"
"26/09/2024","50,50","50,13","-0,06","49,85","50,84","184,81M"
"25/09/2024","50,40","50,16","0,30","49,63","50,74","301,48M"
"24/09/2024","49,60","50,01","1,42","49,21","50,40","239,67M"
"23/09/2024","48,43","49,31","2,20","48,16","49,58","190,59M"
"20/09/2024","47,63","48,25","1,60","47,11","48,85","383,43M"
"19/09/2024","47,75","47,49","0,08","46,94","47,88","184,96M"
"18/09/2024","48,39","47,45","-1,94","47,33","48,41","232,79M"
"17/09/2024","49,39","48,39","-1,61","48,15","49,96","284,21M"
"16/09/2024","50,75","49,18","-5,30","48,87","51,00","532,93M"
"13/09/2024","50,81","51,93","1,92","50,81","51,93","373,50M"
"12/09/2024","49,49","50,95","2,31","48,52","50,99","408,50M"
"11/09/2024","48,75","49,80","2,47","47,86","49,80","331,91M"
"10/09/2024","47,87","48,60","1,17","47,23","48,67","297,18M"
"09/09/2024","48,10","48,04","0,44","47,22","48,29","467,47M"
"06/09/2024","49,25","47,83","-3,94","46,51","50,10","813,10M"
"05/09/2024","49,25","49,79","1,38","48,94","49,99","291,23M"
"04/09/2024","46,75","49,11","5,79","46,75","49,72","643,97M"
"03/09/2024","46,83","46,42","1,78","44,85","46,67","694,34M"
"02/09/2024","46,83","45,61","-2,61","45,61","47,07","240,21M"
"30/08/2024","46,50","46,83","1,06","45,91","47,44","723,58M"
"29/08/2024","46,50","46,34","-0,49","46,07","46,94","245,96M"
"28/08/2024","45,66","46,57","1,93","45,60","46,94","331,90M"
"27/08/2024","46,16","45,69","-1,25","45,53","46,42","291,87M"
"26/08/2024","46,16","46,27","0,52","45,72","46,49","153,79M"
"23/08/2024","46,20","46,03","0,07","45,98","46,70","248,19M"
"22/08/2024","45,45","46,00","2,15","45,35","46,14","279,20M"
